"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 27 02:01:26 PKT 2025","Tue May 27 02:01:27 PKT 2025","1159","All Test Suite","FakeRest API Tests","Testcases.CartTests","Testcases.CartTests","testDeleteCart","testDeleteCart",""
"passed","Tue May 27 02:01:27 PKT 2025","Tue May 27 02:01:29 PKT 2025","1630","All Test Suite","FakeRest API Tests","Testcases.LoginTests","Testcases.LoginTests","testInvalidLogin","testInvalidLogin",""
"passed","Tue May 27 02:01:13 PKT 2025","Tue May 27 02:01:14 PKT 2025","1158","All Test Suite","FakeRest API Tests","Testcases.ProductTests","Testcases.ProductTests","testUpdateProduct","testUpdateProduct",""
"passed","Tue May 27 02:01:22 PKT 2025","Tue May 27 02:01:23 PKT 2025","1239","All Test Suite","FakeRest API Tests","Testcases.CartTests","Testcases.CartTests","testGetAllCarts","testGetAllCarts",""
"passed","Tue May 27 02:01:20 PKT 2025","Tue May 27 02:01:22 PKT 2025","1147","All Test Suite","FakeRest API Tests","Testcases.UserTests","Testcases.UserTests","testDeleteUser","testDeleteUser",""
"passed","Tue May 27 02:01:23 PKT 2025","Tue May 27 02:01:24 PKT 2025","1172","All Test Suite","FakeRest API Tests","Testcases.CartTests","Testcases.CartTests","testCreateCart","testCreateCart",""
"passed","Tue May 27 02:01:14 PKT 2025","Tue May 27 02:01:15 PKT 2025","1309","All Test Suite","FakeRest API Tests","Testcases.ProductTests","Testcases.ProductTests","testDeleteProduct","testDeleteProduct",""
"passed","Tue May 27 02:01:25 PKT 2025","Tue May 27 02:01:26 PKT 2025","1041","All Test Suite","FakeRest API Tests","Testcases.CartTests","Testcases.CartTests","testUpdateCart","testUpdateCart",""
"passed","Tue May 27 02:01:11 PKT 2025","Tue May 27 02:01:13 PKT 2025","1574","All Test Suite","FakeRest API Tests","Testcases.ProductTests","Testcases.ProductTests","testCreateNewProduct","testCreateNewProduct",""
"passed","Tue May 27 02:01:08 PKT 2025","Tue May 27 02:01:11 PKT 2025","3555","All Test Suite","FakeRest API Tests","Testcases.ProductTests","Testcases.ProductTests","testGetAllProducts","testGetAllProducts",""
"passed","Tue May 27 02:01:17 PKT 2025","Tue May 27 02:01:18 PKT 2025","1387","All Test Suite","FakeRest API Tests","Testcases.UserTests","Testcases.UserTests","testSingleUser","testSingleUser",""
"passed","Tue May 27 02:01:19 PKT 2025","Tue May 27 02:01:20 PKT 2025","1099","All Test Suite","FakeRest API Tests","Testcases.UserTests","Testcases.UserTests","testUpdateUser","testUpdateUser",""
"passed","Tue May 27 02:01:15 PKT 2025","Tue May 27 02:01:17 PKT 2025","1273","All Test Suite","FakeRest API Tests","Testcases.UserTests","Testcases.UserTests","testGetAllUsers","testGetAllUsers",""
"passed","Tue May 27 02:01:18 PKT 2025","Tue May 27 02:01:19 PKT 2025","1317","All Test Suite","FakeRest API Tests","Testcases.UserTests","Testcases.UserTests","testCreateUser","testCreateUser",""
"passed","Tue May 27 02:01:24 PKT 2025","Tue May 27 02:01:25 PKT 2025","1195","All Test Suite","FakeRest API Tests","Testcases.CartTests","Testcases.CartTests","testSingleCart","testSingleCart",""
"passed","Tue May 27 02:01:29 PKT 2025","Tue May 27 02:01:30 PKT 2025","1235","All Test Suite","FakeRest API Tests","Testcases.LoginTests","Testcases.LoginTests","testSuccessFullLogin","testSuccessFullLogin",""
